OfferName,OfferId,OfferDescription,OfferPrice,OfferType,Recurring,PaidFlag,GroupOffer,MaxRecurringCycles,OfferCycleLength,OfferCycleUnit,BalanceType,BalanceAmount,BalanceUnitType,BalanceIsRecurring,BalanceCycleLength,BalanceCycleUnit,BalanceIsRolloverAllowed,BalanceMaxRolloverAmount,Balance description
Basic prepaid plan,1000,"Basic prepaid priceplan, which covers all type of services",7.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,3600,SECONDS,Yes,1,MONTH,No,0,Prepaid base balance for voice service
Basic prepaid plan,1000,"Basic prepaid priceplan, which covers all type of services",7.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,1000,EVENTS,Yes,1,MONTH,No,0,Prepaid base balance for SMS and MMS service
Basic prepaid plan,1000,"Basic prepaid priceplan, which covers all type of services",7.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,10737418240,BYTES,Yes,1,MONTH,No,0,Prepaid base balance for data service
Basic postpaid plan,1001,"Basic postpaid priceplan, which covers all type of services",15.99,POSTPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,86600,SECONDS,Yes,1,MONTH,No,0,Postpaid base balance for voice service
Basic postpaid plan,1001,"Basic postpaid priceplan, which covers all type of services",15.99,POSTPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,5000,EVENTS,Yes,1,MONTH,No,0,Postpaid base balance for SMS and MMS service
Basic postpaid plan,1001,"Basic postpaid priceplan, which covers all type of services",15.99,POSTPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,107374182400,BYTES,Yes,1,MONTH,No,0,Postpaid base balance for data service
Weekly data bundle 5GB,1002,Prepaid weekly data bundle – 5GB,4.99,PREPAID,Yes,Yes,No,4,WEEK,1,ALLOWANCE,5368709120,BYTES,Yes,1,WEEK,Yes,5368709120,Prepaid 5GB weekly balance
Monthly data bundle 25GB,1003,Prepaid monthly data bundle – 25GB,12.99,PREPAID,No,Yes,No,1,MONTH,1,ALLOWANCE,26843545600,BYTES,No,1,MONTH,Yes,0,Prepaid 25GB one time monthly balance
Premium prepaid plan,1010,"Premium prepaid price plan, which contains more free units for all type of services",9.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,18000,SECONDS,Yes,1,MONTH,Yes,7200,5 hours prepaid balance for voice service with 2 hours rollover
Premium prepaid plan,1010,"Premium prepaid price plan, which contains more free units for all type of services",9.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,5000,EVENTS,Yes,1,MONTH,Yes,2000,5000 events prepaid balance for SMS and MMS services with 2000 events rollover
Premium prepaid plan,1010,"Premium prepaid price plan, which contains more free units for all type of services",9.99,PREPAID,Yes,Yes,No,0,MONTH,1,ALLOWANCE,21474836480,SECONDS,Yes,1,MONTH,Yes,10737418240,20GB prepaid balance for data service with 10GB rollover
